,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,olafsvik,64.8945,-23.7142,42.85,89,100,19.66,IS,1614321716
370,tierra colorada,17.1667,-99.5833,72.66,54,0,3.89,MX,1614321716
371,ocos,14.5094,-92.1933,79.11,69,20,3.42,GT,1614321717
372,marrakesh,31.6315,-8.0083,48.2,100,75,5.75,MA,1614321710
373,tigil,57.8,158.6667,-1.01,92,99,5.61,RU,1614321717
374,airai,-8.9266,125.4092,68.2,85,73,3.36,TL,1614321717
375,oktyabrskoye,43.0645,44.7417,38.64,76,100,3.53,RU,1614321718
376,liwale,-9.7667,37.9333,79.86,78,45,4.7,TZ,1614321718
377,kralendijk,12.15,-68.2667,78.8,73,40,19.57,BQ,1614321719
378,isangel,-19.55,169.2667,84.2,70,75,11.5,VU,1614321719
379,esperance,-33.8667,121.9,68.0,64,90,17.27,AU,1614321719
380,manosque,43.8288,5.7869,39.2,100,1,2.3,FR,1614321719
381,marsabit,2.3284,37.9899,71.58,66,0,15.95,KE,1614321720
382,palauig,15.435,119.9045,82.94,64,0,7.61,PH,1614321720
383,korla,41.7597,86.1469,43.07,39,100,19.22,CN,1614321552
384,vaitape,-16.5167,-151.75,82.15,79,94,13.15,PF,1614321720
385,loandjili,-4.7561,11.8578,75.2,94,40,4.61,CG,1614321721
386,nhulunbuy,-12.2333,136.7667,86.0,62,75,8.05,AU,1614321721
387,byurakan,40.338,44.2714,33.8,60,0,1.14,AM,1614321722
388,canaries,28.0,-15.5,62.6,55,75,21.85,ES,1614321723
389,gazojak,41.1875,61.4036,22.98,57,100,6.04,TM,1614321723
390,nhlangano,-27.1167,31.2,65.35,80,65,1.9,SZ,1614321723
391,avera,33.194,-82.5271,48.2,100,1,4.61,US,1614321724
392,grindavik,63.8424,-22.4338,44.6,93,75,21.85,IS,1614321724
393,carlisle,40.2015,-77.1889,36.0,69,100,2.98,US,1614321724
394,vao,-22.6667,167.4833,78.42,80,0,21.32,NC,1614321724
395,isla vista,34.4133,-119.861,55.0,70,1,3.44,US,1614321483
396,envira,-7.3,-70.2167,72.01,97,100,1.79,BR,1614321725
397,puro,12.4841,123.3827,85.42,68,98,6.96,PH,1614321725
398,rosario do sul,-30.2583,-54.9142,60.31,84,0,7.7,BR,1614321726
399,lesnyye polyany,55.9667,37.8667,39.2,93,90,15.66,RU,1614321726
400,buin,-33.7333,-70.75,68.0,77,0,6.91,CL,1614321726
401,afrikanda,67.4429,32.7828,18.0,95,99,1.03,RU,1614321726
402,cap malheureux,-19.9842,57.6142,84.0,68,32,8.99,MU,1614321727
403,alexandria,31.2156,29.9553,55.4,71,0,2.86,EG,1614321727
404,harper,4.375,-7.7169,77.32,86,6,1.34,LR,1614321727
405,lagos,6.5833,3.75,81.81,78,52,5.3,NG,1614321548
406,iwanai,42.9744,140.5089,21.45,91,99,14.07,JP,1614321728
407,necochea,-38.5473,-58.7368,68.0,64,0,3.0,AR,1614321728
408,bulgan,48.8125,103.5347,32.23,74,100,9.93,MN,1614321728
409,te anau,-45.4167,167.7167,61.39,62,100,4.61,NZ,1614321729
410,la crosse,43.8014,-91.2396,26.6,86,75,6.91,US,1614321579
411,ust-karsk,52.7011,118.8077,13.57,89,100,7.07,RU,1614321729
412,chimoio,-19.1164,33.4833,78.8,89,40,6.91,MZ,1614321730
413,khani,41.9563,42.9566,42.8,87,75,4.61,GE,1614321730
414,mugur-aksy,50.35,90.5,-3.32,69,81,6.93,RU,1614321730
415,vila velha,-20.3297,-40.2925,77.0,88,75,5.75,BR,1614321731
416,aneho,6.2333,1.6,78.8,73,20,3.44,TG,1614321731
417,abay,49.6311,72.8539,-11.2,70,75,15.66,KZ,1614321731
418,vostok,46.4856,135.8833,2.8,93,100,7.02,RU,1614321732
419,arlit,18.7369,7.3853,64.45,13,0,3.85,NE,1614321732
420,terney,45.0503,136.6092,16.63,84,13,12.86,RU,1614321732
421,oeiras do para,-2.0031,-49.8544,73.69,97,100,2.26,BR,1614321732
422,nizhniy odes,63.6445,54.856,-4.86,89,100,9.28,RU,1614321733
423,palmas bellas,9.2319,-80.0867,81.0,77,21,11.99,PA,1614321733
424,vila,42.0304,-8.1588,44.01,91,74,4.0,PT,1614321733
425,murray bridge,-35.1167,139.2667,71.01,51,0,1.01,AU,1614321733
426,shubarkuduk,49.1447,56.4872,5.79,94,100,16.93,KZ,1614321676
427,cheremukhovo,60.3484,59.9851,2.66,89,76,3.27,RU,1614321734
428,ostrovnoy,68.0531,39.5131,19.36,95,99,17.29,RU,1614321734
429,taree,-31.9,152.4667,80.6,57,98,9.22,AU,1614321735
430,carmen,18.6333,-91.8333,76.12,76,0,14.12,MX,1614321735
431,pauini,-7.7136,-66.9764,72.36,97,100,1.83,BR,1614321736
432,teguldet,57.3064,88.1667,-4.85,85,100,11.56,RU,1614321736
433,miandrivazo,-19.5167,45.4667,85.5,63,74,1.36,MG,1614321736
434,veraval,20.9,70.3667,85.28,38,0,12.19,IN,1614321611
435,manjacaze,-24.7117,33.8828,77.9,81,98,11.05,MZ,1614321736
436,kloulklubed,7.0419,134.2556,77.0,94,90,8.05,PW,1614321737
437,rongcheng,30.634,117.8517,44.37,88,100,7.09,CN,1614321738
438,acarau,-2.8856,-40.12,77.0,88,97,8.43,BR,1614321738
439,ucluelet,48.9329,-125.5528,42.01,88,100,8.01,CA,1614321463
440,garowe,8.4054,48.4845,80.62,46,0,11.45,SO,1614321738
441,mournies,35.4764,24.0092,53.6,94,40,6.04,GR,1614321739
442,mae hong son,19.3003,97.9685,91.4,31,0,4.21,TH,1614321739
443,chekhov,55.1431,37.4711,41.0,87,90,11.18,RU,1614321739
444,selma,36.5708,-119.6121,51.8,58,20,4.61,US,1614321740
445,smithers,54.7804,-127.1743,32.0,86,75,5.75,CA,1614321732
446,nenjiang,49.1833,125.2167,10.29,91,100,4.29,CN,1614321740
447,siloam springs,36.1881,-94.5405,44.6,65,90,5.75,US,1614321735
448,benoni,-26.1885,28.3208,66.0,92,0,0.6,ZA,1614321741
449,paamiut,61.994,-49.6678,21.06,86,100,8.66,GL,1614321741
450,borgo san dalmazzo,44.333,7.4858,50.0,87,0,4.61,IT,1614321741
451,mikuni,36.2171,136.1519,46.4,53,75,17.27,JP,1614321741
452,suleja,9.1758,7.1808,76.78,25,7,3.83,NG,1614321741
453,omsukchan,62.5333,155.8,-25.73,83,100,5.75,RU,1614321742
454,ansalta,42.6894,46.1178,34.95,79,99,5.55,RU,1614321742
455,tanhacu,-14.0214,-41.2481,68.5,87,83,4.32,BR,1614321742
456,acapulco,16.8634,-99.8901,76.03,59,0,4.21,MX,1614321743
457,kudahuvadhoo,2.6708,72.8944,82.26,70,60,10.04,MV,1614321743
458,akureyri,65.6835,-18.0878,35.92,82,100,6.13,IS,1614321743
459,saint-pierre,-21.3393,55.4781,86.0,51,0,6.91,RE,1614321744
460,mirnyy,62.5353,113.9611,-13.32,96,100,9.73,RU,1614321744
461,lanzhou,36.0564,103.7922,53.6,35,0,8.95,CN,1614321488
462,alugan,12.2188,125.4808,83.52,74,9,8.99,PH,1614321745
463,broome,42.2506,-75.833,21.99,73,1,5.75,US,1614321745
464,morrope,-6.5417,-80.0111,69.01,86,96,1.99,PE,1614321745
465,axim,4.8699,-2.2405,78.89,87,100,5.75,GH,1614321746
466,gizo,-8.103,156.8419,82.67,75,100,10.94,SB,1614321746
467,zhaoyuan,37.3592,120.3964,55.99,25,100,10.38,CN,1614321746
468,erdemli,36.605,34.3084,58.24,40,0,3.49,TR,1614321747
469,beira,-19.8436,34.8389,82.4,83,20,2.3,MZ,1614321637
470,tucumcari,35.1717,-103.725,26.6,54,1,9.71,US,1614321747
471,shahr-e babak,30.1165,55.1186,39.24,72,56,2.46,IR,1614321747
472,los llanos de aridane,28.6585,-17.9182,60.8,63,40,14.97,ES,1614321748
473,henties bay,-22.116,14.2845,63.0,93,100,5.99,NA,1614321748
474,mananjary,-21.2167,48.3333,84.54,68,35,5.35,MG,1614321748
475,madras,13.0878,80.2785,86.0,51,20,5.75,IN,1614321497
476,tilichiki,60.4667,166.1,-15.03,88,98,12.28,RU,1614321749
477,borogontsy,62.6683,131.1683,-17.32,85,100,0.92,RU,1614321749
478,marawi,7.9986,124.2928,82.99,83,81,5.99,PH,1614321749
479,berlevag,70.8578,29.0864,35.6,69,0,17.27,NO,1614321750
480,dongsheng,39.8161,109.9776,44.04,35,100,32.86,CN,1614321750
481,waverly,42.7392,-84.6208,24.8,80,1,3.44,US,1614321750
482,billings,45.7833,-108.5007,33.8,34,1,14.97,US,1614321631
483,oranzherei,45.8476,47.5663,26.6,93,90,13.42,RU,1614321751
484,bud,39.447,-86.1758,32.0,80,1,5.28,US,1614321751
485,provideniya,64.3833,-173.3,-11.56,79,0,9.24,RU,1614321752
486,lujan,-34.5703,-59.105,72.0,95,0,8.14,AR,1614321752
487,papara,-3.9839,-38.7273,82.4,78,40,5.75,BR,1614321752
488,aguimes,27.9054,-15.4461,62.6,55,75,21.85,ES,1614321753
489,yantai,37.5333,121.4,41.61,66,100,10.78,CN,1614321753
490,khirkiya,22.1674,76.8605,93.97,12,0,8.84,IN,1614321753
491,buala,-8.145,159.5921,78.64,87,100,12.08,SB,1614321754
492,nova olimpia,-14.7972,-57.2881,72.1,97,100,3.2,BR,1614321754
493,huron,41.1501,-82.5499,30.0,88,0,3.33,US,1614321754
494,umm kaddadah,13.6017,26.6876,67.64,23,0,21.94,SD,1614321755
495,olinda,-8.0089,-34.8553,73.4,88,75,5.75,BR,1614321755
496,guozhen,34.3659,107.359,44.56,62,100,5.73,CN,1614321755
497,cururupu,-1.8283,-44.8683,75.61,94,100,3.33,BR,1614321755
498,morant bay,17.8815,-76.4093,77.0,73,20,9.22,JM,1614321756
499,tautira,-17.7333,-149.15,84.0,78,40,6.91,PF,1614321756
500,kaifeng,34.7911,114.3483,46.4,53,84,13.42,CN,1614321757
501,matay,28.419,30.7792,60.17,58,0,8.28,EG,1614321757
502,skala,50.2305,19.8536,46.0,100,0,2.3,PL,1614321757
503,palmerston,-12.486,130.9833,90.0,51,40,9.22,AU,1614321758
504,oranjestad,12.524,-70.027,75.2,88,75,16.11,AW,1614321674
505,kendari,-3.945,122.4989,89.91,53,47,3.91,ID,1614321758
506,sonoita,31.85,-112.8333,48.0,24,0,3.53,MX,1614321758
507,roald,62.5833,6.1333,42.8,87,75,11.5,NO,1614321759
508,idil,37.3411,41.8895,46.4,49,0,6.91,TR,1614321759
509,hailey,43.5196,-114.3153,15.8,92,1,4.61,US,1614321759
510,klaksvik,62.2266,-6.589,44.6,100,90,9.22,FO,1614321759
511,tiznit,29.5833,-9.5,50.97,86,100,7.76,MA,1614321760
512,maracaibo,10.6317,-71.6406,78.96,69,89,11.61,VE,1614321760
513,ketchikan,55.3422,-131.6461,41.0,75,90,8.05,US,1614321761
514,jaguey grande,22.5269,-81.1286,69.8,94,20,3.44,CU,1614321761
515,luangwa,-15.6167,30.4167,80.44,84,49,0.54,ZM,1614321761
516,hobyo,5.3505,48.5268,81.84,64,39,17.72,SO,1614321762
517,pavlovka,52.6897,47.1405,19.11,96,96,1.39,RU,1614321762
518,kauhajoki,62.4333,22.1833,36.0,100,0,4.61,FI,1614321762
519,nelson bay,-32.7167,152.15,78.8,73,100,13.8,AU,1614321546
520,bandarban,22.1965,92.2262,94.98,19,0,6.24,BD,1614321763
521,nagorsk,59.3172,50.8078,-4.7,90,100,8.43,RU,1614321763
522,maniitsoq,65.4167,-52.9,18.73,82,0,4.16,GL,1614321763
523,corpus christi,27.8006,-97.3964,70.0,88,90,21.85,US,1614321503
524,bubaque,11.2833,-15.8333,77.05,61,0,8.77,GW,1614321764
525,gashua,12.871,11.0482,69.21,22,0,11.3,NG,1614321764
526,palana,59.1167,159.9667,-2.11,94,93,10.0,RU,1614321764
527,kabinda,-6.1333,24.4833,73.65,88,48,4.54,CD,1614321765
528,mitsamiouli,-11.3847,43.2844,83.77,72,45,4.9,KM,1614321765
529,rognan,67.0953,15.3878,39.0,94,100,7.16,NO,1614321765
530,sassandra,4.95,-6.0833,75.83,92,7,3.67,CI,1614321765
531,shingu,33.7333,135.9833,48.2,93,75,10.36,JP,1614321766
532,ugoofaaru,5.6667,73.0,82.06,71,91,9.57,MV,1614321766
533,puerto carreno,6.189,-67.4859,79.48,67,100,16.91,CO,1614321766
534,soma,39.1855,27.6094,46.4,100,29,4.61,TR,1614321767
535,bac lieu,9.285,105.7244,83.95,63,74,13.58,VN,1614321477
536,alihe,50.5667,123.7167,13.15,82,100,5.61,CN,1614321767
537,trinidad,-14.8333,-64.9,74.64,94,100,3.69,BO,1614321767
538,charters towers,-20.1,146.2667,79.25,76,94,11.32,AU,1614321767
539,ladyzhyn,48.685,29.2368,39.11,92,0,7.4,UA,1614321768
540,zhigansk,66.7697,123.3711,-26.86,83,81,1.59,RU,1614321768
541,kuala terengganu,5.3302,103.1408,89.6,62,20,9.22,MY,1614321768
542,latung,5.5,120.8833,83.34,67,94,1.07,PH,1614321768
543,kirakira,-10.4544,161.9205,82.15,81,100,5.41,SB,1614321769
544,marquette,46.5333,-87.6335,25.0,72,0,9.62,US,1614321769
545,tromso,69.6496,18.957,37.4,81,75,14.97,NO,1614321619
